Model,Input Data,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions
Tfh_df_TILmodel,CD8_Tex_df,94.625720%,27.938343%,61.346154%,"(1040, 239)"
Treg_df_TILmodel,Th1_df,23.697917%,99.471598%,61.311475%,"(1525, 239)"
CD8_NaiveLike_df_TILmodel,Tfh_df,65.714286%,55.882353%,60.869565%,"(69, 239)"
Treg_df_TILmodel,CD8_NaiveLike_df,21.906226%,100.000000%,60.847784%,"(2595, 239)"
CD8_Tpex_df_TILmodel,CD8_NaiveLike_df,21.675634%,99.845440%,60.655106%,"(2595, 239)"
CD4_NaiveLike_df_TILmodel,Treg_df,84.944049%,35.450820%,60.285860%,"(1959, 239)"
CD4_NaiveLike_df_TILmodel,CD8_Tex_df,86.564299%,33.140655%,59.903846%,"(1040, 239)"
Th1_df_TILmodel,CD8_Tex_df,97.888676%,21.194605%,59.615385%,"(1040, 239)"
CD4_NaiveLike_df_TILmodel,all_TILs_df,76.678877%,40.427699%,58.560668%,"(9824, 239)"
CD4_NaiveLike_df_TILmodel,CD8_EffectorMemory_df,71.471025%,44.345238%,57.918216%,"(1345, 239)"
CD8_NaiveLike_df_TILmodel,CD8_Tex_df,98.464491%,16.763006%,57.692308%,"(1040, 239)"
CD8_Tex_df_TILmodel,Th1_df,11.848958%,100.000000%,55.606557%,"(1525, 239)"
all_TILmodel,CD4_NaiveLike_df,10.447761%,100.000000%,54.887218%,"(133, 239)"
CD8_Tex_df_TILmodel,CD8_EarlyActiv_df,8.965517%,100.000000%,54.377880%,"(868, 239)"
CD4_NaiveLike_df_TILmodel,Th1_df,64.583333%,43.857332%,54.295082%,"(1525, 239)"
CD8_NaiveLike_df_TILmodel,CD4_NaiveLike_df,14.925373%,93.939394%,54.135338%,"(133, 239)"
CD8_Tex_df_TILmodel,CD8_NaiveLike_df,8.455035%,100.000000%,54.104046%,"(2595, 239)"
CD4_NaiveLike_df_TILmodel,CD8_Tpex_df,81.690141%,24.822695%,53.356890%,"(283, 239)"
CD4_NaiveLike_df_TILmodel,CD8_EarlyActiv_df,62.298851%,42.956120%,52.649770%,"(868, 239)"
CD8_EarlyActiv_df_TILmodel,CD4_NaiveLike_df,5.970149%,100.000000%,52.631579%,"(133, 239)"
CD8_EffectorMemory_df_TILmodel,CD4_NaiveLike_df,4.477612%,100.000000%,51.879699%,"(133, 239)"
CD4_NaiveLike_df_TILmodel,CD8_NaiveLike_df,66.717909%,36.553323%,51.676301%,"(2595, 239)"
CD8_Tpex_df_TILmodel,CD4_NaiveLike_df,2.985075%,100.000000%,51.127820%,"(133, 239)"
Treg_df_TILmodel,CD4_NaiveLike_df,2.985075%,100.000000%,51.127820%,"(133, 239)"
CD8_Tex_df_TILmodel,CD4_NaiveLike_df,1.492537%,100.000000%,50.375940%,"(133, 239)"
Th1_df_TILmodel,CD4_NaiveLike_df,10.447761%,89.393939%,49.624060%,"(133, 239)"
Tfh_df_TILmodel,CD4_NaiveLike_df,16.417910%,81.818182%,48.872180%,"(133, 239)"
CD4_NaiveLike_df_TILmodel,Tfh_df,62.857143%,26.470588%,44.927536%,"(69, 239)"
