,x
928,0.638
929,0.596
930,0.322
931,0.501
932,0.661
933,0.929
934,0.29
935,0.589
936,0.429
937,0.539
938,0.376
939,0.506
940,0.537
941,1.517
942,0.614
943,0.801
944,0.259
945,0.892
946,0.521
947,0.356
948,0.506
949,0.429
950,0.743
951,0.36
952,1.046
953,0.78
954,0.563
955,1.032
956,0.687
957,0.429
958,0.85
959,0.068
960,0.422
961,0.387
962,0.892
963,0.522
964,1.122
965,0.393
966,0.399
967,0.491
968,0.354
969,1.001
970,0.349
971,0.499
972,0.737
973,0.955
974,0.716
975,1.769
976,0.384
977,0.758
978,0.999
979,0.178
980,0.818
981,0.428
982,0.365
983,0.295
984,1.291
985,0.788
986,0.556
987,0.438
988,0.18
989,0.353
990,0.473
991,0.705
992,0.561
993,0.356
994,0.443
995,0.56
996,0.506
997,0.743
998,0.903
999,0.365
1000,0.687
1001,0.184
1002,0.431
1003,0.997
1004,0.65
1005,0.488
1006,0.869
1007,0.351
1008,0.606
1009,0.712
1010,1.041
1011,1.311
1012,0.268
1013,0.771
1014,0.503
1015,0.97
1016,0.382
1017,1.311
1018,1.172
1019,0.487
1020,0.48
1021,0.435
1022,0.913
1023,0.402
1024,0.513
1025,0.195
1026,0.691
1027,1.061
1028,0.87
1029,1.366
1030,0.66
1031,0.685
1032,0.341
1033,0.431
1034,0.292
1035,0.362
1036,0.598
1037,1.003
1038,0.389
1039,0.853
1040,0.667
1041,0.315
1042,0.514
1043,1.391
1044,1.498
1045,0.853
1046,1.103
1047,0.362
1048,0.325
1049,0.512
1050,0.338
1051,0.513
1052,0.36
1053,0.596
1054,1.087
1055,0.483
1056,1.239
1057,0.417
1058,1.015
1059,1.612
1060,0.589
1061,0.953
1062,1.55
1063,0.297
1064,0.373
1065,0.637
1066,0.736
1067,1.06
1068,1.009
1069,0.884
1070,0.55
1071,0.549
1072,1.909
1073,0.561
1074,1.3
1075,0.229
1076,1.236
1077,0.58
1078,1.487
1079,0.598
1080,1.552
1081,0.437
1082,0.881
1083,1.061
1084,0.481
1085,1.542
1086,0.245
1087,0.318
1088,0.425
1089,0.45
1090,0.731
1091,1.185
1092,1.119
1093,0.184
1094,0.58
1095,1.285
1096,0.28
1097,1.076
1098,0.725
1099,0.981
1100,0.328
1101,0.593
1102,0.596
1103,0.661
1104,0.819
1105,1.439
1106,0.186
1107,0.679
1108,0.423
1109,1.303
1110,1.144
1111,0.541
1112,0.598
1113,0.874
1114,1.269
1115,1.374
1116,0.753
1117,1.465
1118,0.389
1119,1.199
1120,0.953
1121,0.382
1122,1.108
1123,0.29
1124,0.408
1125,1.016
1126,0.268
1127,0.454
1128,1.898
1129,1.654
1130,1.184
1131,0.849
1132,0.485
1133,0.343
1134,0.437
1135,0.575
1136,0.336
1137,0.6
1138,0.694
1139,2.25
1140,0.451
1141,0.925
1142,0.408
1143,1.305
1144,1.073
1145,0.333
1146,0.7
1147,0.562
1148,0.483
1149,0.805
1150,0.678
1151,0.847
1152,0.554
1153,1.021
1154,0.851
1155,1.121
1156,0.625
1157,0.528
1158,0.558
1159,1.567
1160,0.593
1161,0.598
1162,0.698
1163,0.542
1164,1.026
1165,0.323
1166,1.139
1167,0.533
1168,1.073
1169,0.376
1170,1.672
1171,0.438
1172,0.625
1173,0.914
1174,0.457
1175,0.696
1176,0.478
1177,0.408
1178,2.067
1179,0.635
1180,0.861
1181,4.338
1182,0.835
1183,0.683
1184,0.447
1185,1.066
1186,1.843
1187,0.29
1188,0.594
1189,0.549
1190,0.747
1191,0.494
1192,0.381
1193,1.825
1194,0.61
1195,0.7
1196,0.676
1197,0.477
1198,0.664
1199,1.64
1200,2.112
1201,0.411
1202,2.036
1203,0.466
1204,0.59
1205,0.512
1206,1.791
1207,0.353
1208,0.839
1209,0.298
1210,0.512
1211,0.757
1212,1.977
1213,0.448
1214,0.748
1215,0.57
1216,0.48
1217,1.374
1218,0.351
1219,0.631
1220,0.283
1221,0.393
1222,0.392
1223,0.892
1224,0.382
1225,0.37
1226,0.47
1227,0.7
1228,0.398
1229,0.432
1230,0.838
1231,1.154
1232,0.323
1233,1.381
1234,0.561
1235,0.849
1236,0.368
1237,0.739
1238,0.783
1239,0.776
1240,0.413
1241,0.665
1242,0.668
1243,0.348
1244,0.84
1245,1.049
1246,0.581
1247,0.846
1248,0.992
1249,1.417
1250,0.606
1251,1.63
1252,1.416
1253,1.159
1254,0.786
1255,0.586
1256,0.572
1257,1.193
1258,0.313
1259,0.407
1260,1.452
1261,1.816
1262,0.153
1263,1.329
1264,1.244
1265,0.556
1266,1.176
1267,0.387
1268,0.541
1269,0.481
1270,0.683
1271,0.367
1272,0.69
1273,0.302
1274,0.562
1275,0.325
1276,0.335
1277,0.205
1278,0.609
1279,0.81
1280,0.576
1281,0.498
1282,2.119
1283,0.458
1284,2.683
1285,0.428
1286,0.661
1287,0.408
1288,0.271
1289,0.94
1290,0.754
1291,0.303
1292,0.572
1293,1.91
1294,1.272
1295,0.234
1296,0.332
1297,0.375
1298,0.51
1299,0.96
1300,0.855
1301,1.756
1302,0.655
1303,2.7
1304,0.246
1305,0.891
1306,0.6
1307,0.8
1308,0.943
1309,0.411
1310,0.609
1311,0.41
1312,0.748
1313,0.891
1314,1.119
1315,1.23
1316,1.323
1317,0.56
1318,1.197
1319,0.944
1320,0.796
1321,0.974
1322,0.857
1323,1.106
1324,0.389
1325,1.526
1326,0.317
1327,0.441
1328,0.924
1329,0.747
1330,0.42
1331,0.976
1332,0.338
1333,0.238
1334,0.626
1335,0.631
1336,0.368
1337,0.585
1338,1.323
1339,0.81
1340,0.549
1341,0.605
1342,0.354
1343,2.312
1344,0.497
1345,2.487
1346,1.031
1347,0.775
1348,0.616
1349,0.781
1350,1.111
1351,0.596
1352,1.452
1353,0.392
1354,0.473
1355,0.483
1356,1.132
1357,0.501
1358,0.413
1359,0.51
1360,0.521
1361,0.581
1362,0.451
1363,0.36
1364,1.093
1365,0.273
1366,1.139
1367,0.544
1368,1.182
1369,0.579
1370,0.438
1371,0.667
1372,1.184
1373,0.335
1374,0.606
1375,0.405
1376,1.731
1377,0.73
1378,0.298
1379,0.576
1380,0.359
1381,1.421
1382,0.447
1383,0.293
1384,0.386
1385,1.658
1386,0.755
1387,1.236
1388,1.321
1389,0.344
1390,0.419
1391,1.108
1392,0.919
1393,0.41
1394,0.874
1395,0.849
1396,0.923
1397,0.522
1398,0.675
1399,0.441
1400,0.498
1401,0.957
1402,1.848
1403,0.417
1404,0.947
1405,0.344
1406,0.727
1407,1.409
1408,0.522
1409,0.544
1410,0.938
1411,1.061
1412,0.36
1413,0.502
1414,0.505
1415,0.6
1416,0.429
1417,0.426
1418,0.354
1419,0.938
1420,0.603
1421,0.808
1422,1.468
1423,1.249
1424,1.119
1425,1.41
1426,0.205
1427,0.87
1428,0.885
1429,1.06
1430,0.448
1431,0.742
1432,1.861
1433,0.57
1434,0.529
1435,0.419
1436,1.228
1437,0.848
1438,2.251
1439,0.336
1440,0.734
1441,1.352
1442,0.408
1443,0.876
1444,0.416
1445,0.837
1446,0.286
1447,0.622
1448,1.508
1449,0.795
1450,0.488
1451,0.829
1452,0.609
1453,0.478
1454,0.605
1455,0.583
1456,0.432
1457,0.848
1458,0.422
1459,0.42
1460,1.325
1461,0.386
1462,0.467
1463,0.73
1464,1.529
1465,0.417
1466,0.379
1467,0.636
1468,0.609
1469,0.39
1470,0.865
1471,0.404
1472,0.365
1473,0.571
1474,0.269
1475,0.906
1476,0.812
1477,0.529
1478,0.816
1479,1.513
1480,0.589
1481,0.86
1482,1.051
1483,1.922
1484,0.891
1485,0.293
1486,1.455
1487,0.378
1488,0.341
1489,0.437
1490,1.243
1491,0.379
1492,1.84
1493,0.812
1494,0.629
1495,0.218
1496,1.185
1497,0.349
1498,1.238
1499,0.481
1500,1.071
1501,1.341
1502,0.658
1503,1.86
1504,0.36
1505,0.839
1506,1.843
1507,0.28
1508,0.897
1509,0.364
1510,0.752
1511,0.771
1512,1.131
1513,0.694
1514,1.481
1515,0.798
1516,0.261
1517,1.998
1518,0.405
1519,0.466
1520,0.578
1521,0.359
1522,0.805
1523,0.541
1524,0.494
1525,0.307
1526,1.078
1527,1.319
1528,1.381
1529,0.453
1530,0.524
1531,1.042
1532,0.645
1533,0.32
1534,0.545
1535,0.505
1536,0.759
1537,0.55
1538,0.444
1539,1.383
1540,1.464
1541,0.405
1542,0.633
1543,0.373
1544,0.364
1545,0.411
1546,1.428
1547,1.648
1548,0.74
1549,0.973
1550,0.583
1551,0.513
1552,0.958
1553,0.367
1554,0.745
1555,0.958
1556,0.467
1557,0.382
1558,0.981
1559,0.601
1560,0.699
1561,1.126
1562,1.149
1563,0.411
1564,0.544
1565,0.438
1566,0.441
1567,1.017
1568,0.261
1569,1.953
1570,0.668
1571,0.387
1572,0.264
1573,0.917
1574,1.387
1575,0.441
1576,0.476
1577,1.269
1578,0.45
1579,1.713
1580,1.024
1581,1.442
1582,0.414
1583,1.18
1584,0.346
1585,1.2
1586,0.549
1587,0.205
1588,1.567
1589,1.528
1590,0.863
1591,1.522
1592,1.011
1593,1.516
1594,0.502
1595,0.955
1596,1.347
1597,0.346
1598,0.59
1599,0.921
1600,0.699
1601,0.502
1602,0.454
1603,0.703
1604,0.322
1605,1.149
1606,0.07
1607,0.368
1608,0.308
1609,0.993
1610,0.416
1611,1.119
1612,0.245
1613,0.376
1614,0.295
1615,0.325
1616,0.956
1617,0.411
1618,0.73
1619,0.619
1620,0.398
1621,1.367
1622,0.371
1623,0.905
1624,1.325
1625,1.176
1626,1.043
1627,0.832
1628,0.332
1629,1.047
1630,0.59
1631,0.959
1632,1.387
1633,0.437
1634,2.229
1635,1.611
1636,0.471
1637,0.806
1638,0.864
1639,1.415
1640,2.365
1641,0.888
1642,1.037
1643,0.919
1644,0.985
1645,1.213
1646,0.664
1647,0.594
1648,0.589
1649,1.195
1650,1.312
1651,0.9
1652,0.75
1653,0.371
1654,1.641
