Model,Input TIL Data,PHA-L high accuracy,PHA-L low accuracy,Overall accuracy,Dimensions
CD8_Tpex_df_LNmodel,CD8_EarlyActiv_df,25.057471%,98.614319%,61.751152%,"(868, 239)"
CD8_EffectorMemory_df_LNmodel,CD8_Tex_df,97.504798%,25.433526%,61.538462%,"(1040, 239)"
Treg_df_LNmodel,Th1_df,23.046875%,99.471598%,60.983607%,"(1525, 239)"
all_LNLmodel,Tfh_df,60.000000%,61.764706%,60.869565%,"(69, 239)"
CD4_NaiveLike_df_TILmodel,Tfh_df,74.285714%,47.058824%,60.869565%,"(69, 239)"
CD8_Tpex_df_LNmodel,Th1_df,22.395833%,99.207398%,60.524590%,"(1525, 239)"
CD8_Tpex_df_LNmodel,CD8_NaiveLike_df,19.446580%,99.690881%,59.460501%,"(2595, 239)"
CD8_NaiveLike_df_LNmodel,CD8_Tex_df,97.888676%,20.809249%,59.423077%,"(1040, 239)"
Treg_df_LNmodel,CD8_NaiveLike_df,17.909301%,100.000000%,58.843931%,"(2595, 239)"
all_LNLmodel,CD8_Tex_df,97.888676%,18.304432%,58.173077%,"(1040, 239)"
CD8_Tex_df_LNmodel,Tfh_df,20.000000%,97.058824%,57.971014%,"(69, 239)"
CD4_NaiveLike_df_TILmodel,CD8_Tex_df,97.120921%,18.497110%,57.884615%,"(1040, 239)"
CD8_Tex_df_LNmodel,CD8_EarlyActiv_df,13.793103%,100.000000%,56.797235%,"(868, 239)"
CD8_Tex_df_LNmodel,Th1_df,14.192708%,99.867900%,56.721311%,"(1525, 239)"
CD8_Tex_df_LNmodel,CD8_NaiveLike_df,11.529593%,100.000000%,55.645472%,"(2595, 239)"
CD8_EarlyActiv_df_LNmodel,CD4_NaiveLike_df,10.447761%,96.969697%,53.383459%,"(133, 239)"
Th1_df_LNmodel,CD4_NaiveLike_df,5.970149%,100.000000%,52.631579%,"(133, 239)"
Tfh_df_LNmodel,CD4_NaiveLike_df,5.970149%,98.484848%,51.879699%,"(133, 239)"
CD8_NaiveLike_df_LNmodel,CD4_NaiveLike_df,5.970149%,98.484848%,51.879699%,"(133, 239)"
CD8_Tpex_df_LNmodel,CD4_NaiveLike_df,2.985075%,100.000000%,51.127820%,"(133, 239)"
Treg_df_LNmodel,CD4_NaiveLike_df,2.985075%,100.000000%,51.127820%,"(133, 239)"
all_LNLmodel,CD4_NaiveLike_df,7.462687%,95.454545%,51.127820%,"(133, 239)"
CD8_Tex_df_LNmodel,CD4_NaiveLike_df,1.492537%,100.000000%,50.375940%,"(133, 239)"
CD8_EffectorMemory_df_LNmodel,CD4_NaiveLike_df,4.477612%,93.939394%,48.872180%,"(133, 239)"
CD4_NaiveLike_df_TILmodel,CD4_NaiveLike_df,10.447761%,86.363636%,48.120301%,"(133, 239)"
